Name, Time Elapsed (sec), 
READ KEY, 0.000103, 
INSERTED KEY, 4.2e-05, 
UPDATED KEY, 8.6e-05, 
DELETED KEY, 2.7e-05, 


Simultaneous Readers, Time Elapsed (sec), Average Time per Read, 
1, 4.5e-05, , 
50, 0.009838, 0.00019676, 
100, 0.016933, 0.00016933, 


Num of Simultaneous Tasks, Time Elapsed (sec), Average Time per Task, 
1, 0.000426, , 
50, 0.007323, 0.00014646, 
100, 0.011212, 0.00011212, 


Num of Simultaneous Tasks, Time Elapsed (sec), Average Time per Task, 
10, 0.001391, 0.0001391, 
20, 0.00231, 0.0001155, 
30, 0.003214, 0.000107133, 
40, 0.004186, 0.00010465, 
50, 0.004856, 9.712e-05, 
60, 0.005968, 9.94667e-05, 
70, 0.007181, 0.000102586, 
80, 0.007233, 9.04125e-05, 
90, 0.008608, 9.56444e-05, 
100, 0.01035, 0.0001035, 
110, 0.010791, 9.81e-05, 
120, 0.010136, 8.44667e-05, 
130, 0.012056, 9.27385e-05, 
140, 0.011823, 8.445e-05, 
150, 0.012733, 8.48867e-05, 
160, 0.013648, 8.53e-05, 
170, 0.014273, 8.39588e-05, 
180, 0.021203, 0.000117794, 
190, 0.022255, 0.000117132, 
200, 0.019489, 9.7445e-05, 
